Grid,MeanLapTime_sec,AirTemp,TrackTemp,Humidity,Rainfall,Team_Alfa Romeo,Team_Alfa Romeo Racing,Team_AlphaTauri,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Force India,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_RB,Team_Racing Point,Team_Red Bull Racing,Team_Renault,Team_Sauber,Team_Toro Rosso,Team_Williams,Team_nan
7.0,,28.575483870967748,34.310322580645156,61.68387096774194,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
14.0,,19.13860759493671,21.75696202531645,61.947468354430384,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
9.0,,22.189898989898992,30.822222222222223,63.8070707070707,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
5.0,,20.762962962962963,41.261111111111106,28.925925925925927,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
8.0,,27.73469387755102,43.13877551020408,33.14965986394558,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13.0,,21.596499999999995,46.318000000000005,63.99,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.0,,26.70592105263158,44.34934210526316,38.01973684210526,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.0,,20.1231884057971,34.47028985507246,50.70942028985507,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5.0,,22.398039215686275,32.05424836601307,52.04575163398693,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6.0,,18.25320197044335,30.026108374384233,59.748768472906406,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10.0,,18.53024691358025,30.59320987654321,63.901234567901234,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2.0,,17.4,28.119166666666665,57.03,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7.0,,19.88867924528302,35.60251572327045,51.0503144654088,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
8.0,,25.547368421052628,45.63947368421053,23.55263157894737,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
11.0,,20.62222222222222,38.40208333333333,44.451388888888886,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
16.0,,18.22738853503185,23.652866242038225,48.82165605095541,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
16.0,,21.29140625,40.6328125,44.16796874999999,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.0,,18.25320197044335,30.026108374384233,59.748768472906406,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
14.0,,12.899367088607592,17.41898734177215,83.17088607594937,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8.0,,20.8225,39.919999999999995,34.005,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,,19.32992125984252,27.33700787401575,45.98110236220473,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
7.0,,21.503401360544217,26.441496598639453,87.83061224489796,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20.0,,23.12148148148148,27.98,55.44666666666667,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
15.0,,10.62111801242236,16.827329192546582,69.4888198757764,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.0,,20.760740740740744,37.59555555555555,61.42444444444444,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
11.0,,28.12129032258064,46.60193548387097,35.535483870967745,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
12.0,,15.82547770700637,18.18089171974522,93.5248407643312,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18.0,,20.62222222222222,38.40208333333333,44.451388888888886,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4.0,,26.89421487603306,54.525619834710746,39.09090909090909,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
18.0,,27.11741935483871,36.689032258064515,59.42580645161291,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.0,,26.23254901960784,28.973333333333333,87.44705882352942,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.0,,22.189898989898992,30.822222222222223,63.8070707070707,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2.0,,30.164843750000003,54.46171875,47.734375,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3.0,,30.617283950617285,42.81975308641975,58.858024691358025,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
14.0,,20.1231884057971,34.47028985507246,50.70942028985507,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2.0,,26.40192307692308,40.66826923076923,54.80769230769231,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
19.0,,22.398039215686275,32.05424836601307,52.04575163398693,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
18.0,,19.00588235294118,30.80588235294118,60.96078431372549,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
14.0,,17.825174825174823,17.723776223776223,47.86013986013986,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
11.0,,18.0304,23.2608,71.1368,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1.0,,21.662686567164172,25.769651741293536,85.2587064676617,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3.0,,28.82387096774194,44.91612903225806,46.92258064516129,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
17.0,,19.446428571428573,37.01964285714286,24.089285714285715,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
