Season,Race,Driver,Team,Grid,Position,MeanLapTime,AirTemp,TrackTemp,Humidity,Rainfall,NumPitStops,PitStopLaps,PitCompounds,AvgPitStopDuration
2023,Miami Grand Prix,ALO,Aston Martin,2.0,3.0,0 days 00:01:32.711333333,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,RUS,Mercedes,6.0,4.0,0 days 00:01:32.832807017,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,SAI,Ferrari,3.0,5.0,0 days 00:01:32.907929824,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,HAM,Mercedes,13.0,6.0,0 days 00:01:33.148947368,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,LEC,Ferrari,7.0,7.0,0 days 00:01:33.179456140,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,GAS,Alpine,5.0,8.0,0 days 00:01:33.226508771,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,OCO,Alpine,8.0,9.0,0 days 00:01:33.269543859,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,MAG,Haas F1 Team,4.0,10.0,0 days 00:01:33.354140350,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,TSU,AlphaTauri,17.0,11.0,0 days 00:01:33.378070175,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,STR,Aston Martin,18.0,12.0,0 days 00:01:33.385877192,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,BOT,Alfa Romeo,10.0,13.0,0 days 00:01:33.506631578,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,ALB,Williams,11.0,14.0,0 days 00:01:33.528105263,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,HUL,Haas F1 Team,12.0,15.0,0 days 00:01:33.564754385,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,ZHO,Alfa Romeo,14.0,16.0,0 days 00:01:33.625982456,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,NOR,McLaren,16.0,17.0,0 days 00:01:33.788736842,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,DEV,AlphaTauri,15.0,18.0,0 days 00:01:33.810350877,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,PIA,McLaren,19.0,19.0,0 days 00:01:34.263410714,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,SAR,Williams,20.0,20.0,0 days 00:01:34.511232142,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Monaco Grand Prix,VER,Red Bull Racing,1.0,1.0,0 days 00:01:23.743333333,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,GAS,Alpine,7.0,7.0,0 days 00:01:24.542846153,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,PER,Red Bull Racing,20.0,16.0,0 days 00:01:26.592157894,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,ALO,Aston Martin,2.0,2.0,0 days 00:01:24.101294871,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,LEC,Ferrari,6.0,6.0,0 days 00:01:24.536794871,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,STR,Aston Martin,14.0,20.0,0 days 00:01:20.782471698,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,SAR,Williams,16.0,18.0,0 days 00:01:26.907407894,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,MAG,Haas F1 Team,17.0,19.0,0 days 00:01:26.445449275,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,DEV,AlphaTauri,12.0,12.0,0 days 00:01:25.575285714,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,TSU,AlphaTauri,9.0,15.0,0 days 00:01:26.046381578,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,ALB,Williams,13.0,14.0,0 days 00:01:25.859610389,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
